q,n_lda
-6.2451081359423242,0.71934730551628667
-6.1451864057672481,0.71988596964262519
-6.045264675592172,0.7204115453066533
-5.9453429454170958,0.72092430987287748
-5.8454212152420197,0.72142452976299132
-5.7454994850669365,0.72191246095041328
-5.6455777548918604,0.72238834942617536
-5.5456560247167843,0.72285243163661739
-5.4457342945417082,0.72330493489811665
-5.3458125643666321,0.72374607778669264
-5.245890834191556,0.7241760705060114
-5.1459691040164728,0.72459511523606301
-5.0460473738413967,0.72500340646114814
-4.9461256436663206,0.72540113128035677
-4.8462039134912445,0.7257884697016761
-4.7462821833161684,0.72616559491984112
-4.6463604531410923,0.72653267357895124
-4.5464387229660161,0.72688986602144445
-4.4465169927909329,0.72723732652433859
-4.3465952626158568,0.72757520352171645
-4.2466735324407807,0.72790363981720652
-4.1467518022657046,0.72822277278395808
-4.0468300720906285,0.72853273455483936
-3.9469083419155524,0.72883365220354057
-3.8469866117404692,0.72912564791408108
-3.7470648815653931,0.72940883914463206
-3.647143151390317,0.72968333878031166
-3.5472214212152409,0.72994925527961363
-3.4472996910401648,0.73020669281276418
-3.3473779608650887,0.73045575139337138
-3.2474562306900054,0.73069652700268484
-3.1475345005149293,0.73092911170805741
-3.0476127703398532,0.7311535937751541
-2.9476910401647771,0.73137005777413555
-2.847769309989701,0.73157858468061199
-2.7478475798146249,0.73177925197114013
-2.6479258496395417,0.73197213371349057
-2.5480041194644656,0.73215730065259499
-2.4480823892893895,0.73233482029137753
-2.3481606591143134,0.73250475696772077
-2.2482389289392373,0.73266717192665687
-2.1483171987641612,0.73282212338869335
-2.0483954685890851,0.73296966661450091
-1.9484737384140018,0.73310985396562223
-1.8485520082389257,0.73324273496131531
-1.7486302780638496,0.73336835633244113
-1.6487085478887735,0.73348676207182684
-1.5487868177136974,0.73359799348099108
-1.4488650875386213,0.73370208921436819
-1.3489433573635381,0.73379908532023541
-1.249021627188462,0.73388901527777484
-1.1490998970133859,0.73397191003322582
-1.0491781668383098,0.7340477980314899
-0.94925643666323367,0.73411670524580308
-0.84933470648815756,0.73417865520411119
-0.74941297631307435,0.73423366901396725
-0.64949124613799825,0.73428176538367729
-0.54956951596292214,0.73432296064174074
-0.44964778578784603,0.73435726875322138
-0.34972605561276993,0.73438470133418554
-0.24980432543769382,0.73440526766341185
-0.14988259526261061,0.73441897469159989
-0.049960865087534501,0.73442582704864612
0.049960865087541606,0.73442582704864612
0.14988259526261771,0.73441897469159989
0.24980432543769382,0.73440526766341185
