q_left,q_right,q_center,n_fw,n_fw_sem,n_fw_seed_7001,n_fw_seed_7002,n_fw_seed_7003,n_fw_seed_7004,n_fw_seed_7005
-157.62444466182228,-157.52446087199553,-157.57445276690891,0,0,0,0,0,0,0
-157.52446087199553,-157.42447708216883,-157.47446897708218,0,0,0,0,0,0,0
-157.42447708216883,-157.32449329234208,-157.37448518725546,0,0,0,0,0,0,0
-157.32449329234208,-157.22450950251539,-157.27450139742874,0,0,0,0,0,0,0
-157.22450950251539,-157.12452571268867,-157.17451760760201,0,0,0,0,0,0,0
-157.12452571268867,-157.02454192286194,-157.07453381777532,0,0,0,0,0,0,0
-157.02454192286194,-156.92455813303525,-156.9745500279486,0,0,0,0,0,0,0
-156.92455813303525,-156.8245743432085,-156.87456623812187,0,0,0,0,0,0,0
-156.8245743432085,-156.7245905533818,-156.77458244829515,0,0,0,0,0,0,0
-156.7245905533818,-156.62460676355505,-156.67459865846843,0,0,0,0,0,0,0
-156.62460676355505,-156.52462297372836,-156.5746148686417,0,0,0,0,0,0,0
-156.52462297372836,-156.42463918390163,-156.47463107881498,0,0,0,0,0,0,0
-156.42463918390163,-156.32465539407491,-156.37464728898829,0,0,0,0,0,0,0
-156.32465539407491,-156.22467160424821,-156.27466349916156,0,0,0,0,0,0,0
-156.22467160424821,-156.12468781442146,-156.17467970933484,0,0,0,0,0,0,0
-156.12468781442146,-156.02470402459477,-156.07469591950812,0,0,0,0,0,0,0
-156.02470402459477,-155.92472023476802,-155.97471212968139,0,0,0,0,0,0,0
-155.92472023476802,-155.82473644494132,-155.87472833985467,0,0,0,0,0,0,0
-155.82473644494132,-155.7247526551146,-155.77474455002795,0,0,0,0,0,0,0
-155.7247526551146,-155.62476886528788,-155.67476076020125,0,0,0,0,0,0,0
-155.62476886528788,-155.52478507546118,-155.57477697037453,0,0,0,0,0,0,0
-155.52478507546118,-155.42480128563443,-155.47479318054781,0,0,0,0,0,0,0
-155.42480128563443,-155.32481749580774,-155.37480939072108,0,0,0,0,0,0,0
-155.32481749580774,-155.22483370598098,-155.27482560089436,0,0,0,0,0,0,0
-155.22483370598098,-155.12484991615429,-155.17484181106764,0,0,0,0,0,0,0
-155.12484991615429,-155.02486612632757,-155.07485802124091,0,0,0,0,0,0,0
-155.02486612632757,-154.92488233650084,-154.97487423141422,0,0,0,0,0,0,0
-154.92488233650084,-154.82489854667415,-154.8748904415875,0,0,0,0,0,0,0
-154.82489854667415,-154.7249147568474,-154.77490665176077,0,0,0,0,0,0,0
-154.7249147568474,-154.6249309670207,-154.67492286193405,0,0,0,0,0,0,0
-154.6249309670207,-154.52494717719395,-154.57493907210733,0,0,0,0,0,0,0
-154.52494717719395,-154.42496338736726,-154.4749552822806,0,0,0,0,0,0,0
-154.42496338736726,-154.32497959754053,-154.37497149245388,0,0,0,0,0,0,0
-154.32497959754053,-154.22499580771381,-154.27498770262719,0,0,0,0,0,0,0
-154.22499580771381,-154.12501201788712,-154.17500391280046,0,0,0,0,0,0,0
-154.12501201788712,-154.02502822806036,-154.07502012297374,0,0,0,0,0,0,0
-154.02502822806036,-153.92504443823367,-153.97503633314702,0,0,0,0,0,0,0
-153.92504443823367,-153.82506064840692,-153.87505254332029,0,0,0,0,0,0,0
-153.82506064840692,-153.72507685858022,-153.77506875349357,0,0,0,0,0,0,0
-153.72507685858022,-153.6250930687535,-153.67508496366685,0,0,0,0,0,0,0
-153.6250930687535,-153.52510927892678,-153.57510117384015,0,0,0,0,0,0,0
-153.52510927892678,-153.42512548910008,-153.47511738401343,0,0,0,0,0,0,0
-153.42512548910008,-153.32514169927333,-153.37513359418671,0,0,0,0,0,0,0
-153.32514169927333,-153.22515790944664,-153.27514980435998,0,0,0,0,0,0,0
-153.22515790944664,-153.12517411961989,-153.17516601453326,0,0,0,0,0,0,0
